Genus,Species,Code,den0,den1,unc1,cod1,den2,unc2,cod2,den3,unc3,cod3,den4,unc4,cod4
Sorbus,americana,SOAM,0.42,0.565,0.126,B,0.464,0.119,B,0.341,0.119,B,0.356,0.338,C
Tamarix,species,TASP,0.4,0.565,0.126,B,0.464,0.119,B,0.341,0.119,B,0.356,0.338,C
Taxodium,distichum var. nutans,TADI,0.42,0.377,0.041,B,0.366,0.079,B,0.365,0.065,B,0.272,0.336,C
Taxus,brevifolia,TABR,0.6,0.377,0.041,B,0.366,0.079,B,0.365,0.065,B,0.272,0.336,C
Thuja,occidentalis,THOC,0.29,0.326,0.016,B,0.298,0.102,B,0.447,0.059,B,0.24,0.336,C
Thuja,plicata,THPL,0.31,0.315,0.016,B,0.298,0.102,B,0.352,0.057,B,0.222,0.336,C
Tilia,americana,TIAM,0.32,0.43,0.023,B,0.366,0.045,B,0.269,0.084,B,0.356,0.338,C
Tilia,heterophylla,TIHE,0.32,0.43,0.097,B,0.366,0.098,B,0.269,0.107,B,0.356,0.338,C
Tilia,species,TISP,0.32,0.43,0.097,B,0.366,0.098,B,0.269,0.107,B,0.356,0.338,C
Torreya,californica,TOCA,0.34,0.377,0.041,B,0.366,0.079,B,0.365,0.065,B,0.272,0.336,C
Tsuga,canadensis,TSCA,0.4,0.394,0.025,B,0.37,0.08,B,0.462,0.063,B,0.299,0.336,C
Tsuga,heterophylla,TSHE,0.44,0.39,0.01,A,0.36,0.02,A,0.29,0.02,A,0.17,0.024,A
Tsuga,mertensiana,TSME,0.42,0.376,0.025,B,0.37,0.08,B,0.4,0.066,B,0.299,0.336,C
Tsuga,species,TSSP,0.38,0.376,0.025,B,0.37,0.08,B,0.4,0.066,B,0.299,0.336,C
Ulmus,alata,ULAL,0.57,0.565,0.126,B,0.464,0.119,B,0.341,0.119,B,0.356,0.338,C
Ulmus,americana,ULAM,0.46,0.565,0.126,B,0.464,0.119,B,0.341,0.119,B,0.356,0.338,C
Ulmus,crassifolia,ULCR,0.57,0.565,0.126,B,0.464,0.119,B,0.341,0.119,B,0.356,0.338,C
Ulmus,pumila,ULPU,0.46,0.565,0.126,B,0.464,0.119,B,0.341,0.119,B,0.356,0.338,C
Ulmus,rubra,ULRU,0.48,0.565,0.126,B,0.464,0.119,B,0.341,0.119,B,0.356,0.338,C
Ulmus,serotina,ULSE,0.57,0.565,0.126,B,0.464,0.119,B,0.341,0.119,B,0.356,0.338,C
Ulmus,species,ULSP,0.5,0.565,0.126,B,0.464,0.119,B,0.341,0.119,B,0.356,0.338,C
Ulmus,thomasii,ULTH,0.57,0.565,0.126,B,0.464,0.119,B,0.341,0.119,B,0.356,0.338,C
Umbellularia,californica,UMCA,0.51,0.565,0.126,B,0.464,0.119,B,0.341,0.119,B,0.356,0.338,C
Vaccinium,arboreum,VAAR,0.47,0.565,0.126,B,0.464,0.119,B,0.341,0.119,B,0.356,0.338,C
