"22"
""
""
"Appendix C"
"Standing dead tree absolute density and its uncertainty for each decay class by species present in the U.S. FIA inventory"
"Genus          Species          Code      den0    den1    unc1    cod1   den2    unc2    cod2   den3    unc3    cod3    den4   unc4      cod4"
"Quercus        oblongifolia       QUOB     0.700   0.648   0.056    B     0.495   0.062    B     0.401   0.092    B     0.405   0.336      C"
"Quercus        palustris          QUPA     0.580   0.648   0.056    B     0.495   0.062    B     0.401   0.092    B     0.405   0.336      C"
"Quercus        phellos            QUPH     0.560   0.648   0.056    B     0.495   0.062    B     0.401   0.092    B     0.405   0.336      C"
"Quercus        prinus             QUPR     0.570   0.773   0.061    B     0.538   0.063    B     0.309   0.085    B     0.405   0.336      C"
"Quercus        rubra              QURU     0.560   0.578   0.032    B     0.333   0.051    B     0.406   0.090    B     0.393   0.336      C"
"Quercus        shumardii          QUSH     0.560   0.648   0.056    B     0.495   0.062    B     0.401   0.092    B     0.405   0.336      C"
"Quercus        species            QUSP     0.580   0.599   0.024    B     0.508   0.048    B     0.334   0.085    B     0.329   0.336      C"
"Quercus        stellata           QUST     0.600   0.648   0.056    B     0.495   0.062    B     0.401   0.092    B     0.405   0.336      C"
"Quercus        velutina           QUVE     0.560   0.648   0.056    B     0.399   0.056    B     0.476   0.095    B     0.405   0.336      C"
""
"continued"
"     Appendix C.—continued"
"Genus            Species          Code   den0    den1    unc1    cod1   den2    unc2    cod2   den3    unc3    cod3   den4    unc4      cod4"
"Quercus          virginiana       QUVI   0.800   0.648   0.056    B     0.495   0.062    B     0.401   0.092    B     0.405   0.336      C"
"Quercus          wislizeni        QUWI   0.700   0.648   0.056    B     0.495   0.062    B     0.401   0.092    B     0.405   0.336      C"
"Robinia          neomexicana      RONE   0.660   0.769   0.170    B     0.616   0.154    B     0.341   0.119    B     0.356   0.338      C"
"Robinia          pseudoacacia     ROPS   0.660   0.769   0.031    B     0.616   0.053    B     0.341   0.119    B     0.356   0.338      C"
"Salix            species          SASP   0.360   0.565   0.126    B     0.464   0.119    B     0.341   0.119    B     0.356   0.338      C"
"Sapium           sebiferum        SASE   0.470   0.565   0.126    B     0.464   0.119    B     0.341   0.119    B     0.356   0.338      C"
"Sassafras        albidum          SAAL   0.420   0.458   0.024    B     0.427   0.047    B     0.355   0.084    B     0.356   0.338      C"
"Sequoia          sempervirens     SESE   0.340   0.377   0.041    B     0.366   0.079    B     0.365   0.065    B     0.272   0.336      C"
"Sequoiadendron   giganteum        SEGI   0.340   0.377   0.041    B     0.366   0.079    B     0.365   0.065    B     0.272   0.336      C"
"Sorbus           americana        SOAM   0.420   0.565   0.126    B     0.464   0.119    B     0.341   0.119    B     0.356   0.338      C"
"Tamarix          species          TASP   0.400   0.565   0.126    B     0.464   0.119    B     0.341   0.119    B     0.356   0.338      C"
"Taxodium         distichum var.   TADI   0.420   0.377   0.041    B     0.366   0.079    B     0.365   0.065    B     0.272   0.336      C"
"nutans"
"Taxus            brevifolia       TABR   0.600   0.377   0.041    B     0.366   0.079    B     0.365   0.065    B     0.272   0.336      C"
"Thuja            occidentalis     THOC   0.290   0.326   0.016    B     0.298   0.102    B     0.447   0.059    B     0.240   0.336      C"
"Thuja            plicata          THPL   0.310   0.315   0.016    B     0.298   0.102    B     0.352   0.057    B     0.222   0.336      C"
"Tilia            americana        TIAM   0.320   0.430   0.023    B     0.366   0.045    B     0.269   0.084    B     0.356   0.338      C"
"Tilia            heterophylla     TIHE   0.320   0.430   0.097    B     0.366   0.098    B     0.269   0.107    B     0.356   0.338      C"
"Tilia            species          TISP   0.320   0.430   0.097    B     0.366   0.098    B     0.269   0.107    B     0.356   0.338      C"
"Torreya          californica      TOCA   0.340   0.377   0.041    B     0.366   0.079    B     0.365   0.065    B     0.272   0.336      C"
"Tsuga            canadensis       TSCA   0.400   0.394   0.025    B     0.370   0.080    B     0.462   0.063    B     0.299   0.336      C"
"Tsuga            heterophylla     TSHE   0.440   0.390   0.010    A     0.360   0.020    A     0.290   0.020    A     0.170   0.024      A"
"Tsuga            mertensiana      TSME   0.420   0.376   0.025    B     0.370   0.080    B     0.400   0.066    B     0.299   0.336      C"
"Tsuga            species          TSSP   0.380   0.376   0.025    B     0.370   0.080    B     0.400   0.066    B     0.299   0.336      C"
"Ulmus            alata            ULAL   0.570   0.565   0.126    B     0.464   0.119    B     0.341   0.119    B     0.356   0.338      C"
"Ulmus            americana        ULAM   0.460   0.565   0.126    B     0.464   0.119    B     0.341   0.119    B     0.356   0.338      C"
"Ulmus            crassifolia      ULCR   0.570   0.565   0.126    B     0.464   0.119    B     0.341   0.119    B     0.356   0.338      C"
"Ulmus            pumila           ULPU   0.460   0.565   0.126    B     0.464   0.119    B     0.341   0.119    B     0.356   0.338      C"
"Ulmus            rubra            ULRU   0.480   0.565   0.126    B     0.464   0.119    B     0.341   0.119    B     0.356   0.338      C"
"Ulmus            serotina         ULSE   0.570   0.565   0.126    B     0.464   0.119    B     0.341   0.119    B     0.356   0.338      C"
"Ulmus            species          ULSP   0.500   0.565   0.126    B     0.464   0.119    B     0.341   0.119    B     0.356   0.338      C"
"Ulmus            thomasii         ULTH   0.570   0.565   0.126    B     0.464   0.119    B     0.341   0.119    B     0.356   0.338      C"
"Umbellularia     californica      UMCA   0.510   0.565   0.126    B     0.464   0.119    B     0.341   0.119    B     0.356   0.338      C"
"Vaccinium        arboreum         VAAR   0.470   0.565   0.126    B     0.464   0.119    B     0.341   0.119    B     0.356   0.338      C"
"29"
""
""
""
""
"continued"
"30"
""
""
"Appendix C.—continued"
"Standing Dead Absolute Density Predictions Metadata (Appendix C)"
""
"Fieldname       Definition                             Code/Units   Method"
"genus           Sample genus"
"species         Sample species"
"code            Genus-species code"
""
"den0            Green density (decay class “0”)        g/cm3"
""
"den1            Density of decay class 1 snag          g/cm3"
"unc1            Uncertainty of den1"
"cod1            Uncertainty code for den1 (A, B, C)    A            Species sampled"
"cod1            Uncertainty code for den1 (A, B, C)    B            Genera sampled"
"cod1            Uncertainty code for den1 (A, B, C)    C            Species and genus not sampled"
""
"den2            Density of decay class 2 snag          g/cm3"
"unc2            Uncertainty of den2"
"cod2            Uncertainty code for den2 (A, B, C)    A            Species sampled"
"cod2            Uncertainty code for den2 (A, B, C)    B            Genera sampled"
"cod2            Uncertainty code for den2 (A, B, C)    C            Species and genus not sampled"
""
"den3            Density of decay class 3 snag          g/cm3"
"unc3            Uncertainty of den3"
"cod3            Uncertainty code for den3 (A, B, C)    A            Species sampled"
"cod3            Uncertainty code for den3 (A, B, C)    B            Genera sampled"
"cod3            Uncertainty code for den3 (A, B, C)    C            Species and genus not sampled"
""
"den4            Density of decay class 4 snag          g/cm3"
"unc4            Uncertainty of den4"
"cod4            Uncertainty code for den4 (A, B, C)    A            Species sampled"
"cod4            Uncertainty code for den4 (A, B, C)    B            Genera sampled"
"cod4            Uncertainty code for den4 (A, B, C)    C            Species and genus not sampled"
""
